client_id,client_name,client_type,region,main_blend,wholesale_price_per_kg,cogs_per_kg,payment_terms_days,order_cycle_days,tier
C01,연남 로스터리 카페,개인카페,마포,올드독,33000,21500,30,7,A
C02,북촌 한옥카페,개인카페,종로,서울 시네마,35000,21500,30,14,B
C03,판교 오피스 카페테리아,기업급식,성남,올드독,30000,21500,60,7,A
C04,을지로 디저트바,개인카페,중구,잘되어가시나,35000,21500,30,14,B
C05,제주 게스트하우스 카페,숙박병설,제주,서울 시네마,34000,21500,30,14,B
C06,강남 베이커리 체인,체인,강남,올드독,29000,21500,60,7,A
C07,성수 편집숍 카페,개인카페,성동,잘되어가시나,35000,21500,30,14,B
C08,분당 브런치 레스토랑,외식,성남,올드독,31000,21500,45,14,B
C09,홍대 코워킹 라운지,오피스,마포,서울 시네마,33000,21500,30,14,B
C10,이태원 와인바,외식,용산,잘되어가시나,36000,21500,30,14,B
C11,여의도 호텔 라운지,호텔,영등포,올드독,30000,21500,60,7,A
C12,광교 신도시 카페,개인카페,수원,서울 시네마,34000,21500,30,14,C
