menu_id,category,menu_name,price,cogs,margin_per_unit,margin_rate
M001,에스프레소,에스프레소,4900,650,4250,86.7
M002,에스프레소,아메리카노,4900,750,4150,84.7
M003,에스프레소,롱블랙,4900,750,4150,84.7
M004,에스프레소,플랫화이트,5400,1250,4150,76.9
M005,에스프레소,카푸치노,5400,1250,4150,76.9
M006,에스프레소,카페라떼,5400,1300,4100,75.9
M007,에스프레소,바닐라라떼,5800,1500,4300,74.1
M008,에스프레소,콜드브루라떼,5800,1450,4350,75.0
M009,에스프레소,카페모카,6200,1700,4500,72.6
M010,필터,브루잉 커피,6000,1100,4900,81.7
M011,필터,콜드브루,5500,1000,4500,81.8
M012,베이커리,크루아상,3800,1350,2450,64.5
M013,베이커리,플레인 스콘,4000,1300,2700,67.5
M014,베이커리,단팥빵,2700,950,1750,64.8
M015,베이커리,카스타드 크림빵,2400,900,1500,62.5
M016,베이커리,소시지빵,5100,2050,3050,59.8
M017,베이커리,호두 크랜베리 깡빠뉴,5400,2150,3250,60.2
M018,베이커리,빵 오 누텔라,5400,2200,3200,59.3
M019,베이커리,블루베리 파이,4800,1950,2850,59.4
M020,원두리테일,올드독 블렌드 200g,16000,5800,10200,63.7
M021,원두리테일,잘되어가시나 블렌드 200g,16000,5800,10200,63.7
M022,원두리테일,서울 시네마 블렌드 200g,16000,5800,10200,63.7
M023,원두리테일,디카페인 콜롬비아 200g,17000,6400,10600,62.4
